id	alignment.R1_0m.bam	alignment.R2_0m.bam	alignment.R1_30m.bam	alignment.R2_30m.bam
gene-YAL068C	9.43629019774285	8.57384868643644	6.35750112258745	5.14285642236401
gene-YAL067W-A	0	0	0	0
gene-YAL067C	78.1864044955836	36.9747224602571	15.8937528064686	9.42857010766735
gene-YAL065C	7.41422801251224	1.60759662870683	6.35750112258745	2.571428211182
gene-YAL064W-B	0.674020728410203	1.60759662870683	0	0
gene-YAL064C-A	0	0.535865542902277	3.17875056129372	0
gene-YAL064W	0	0	0	0
gene-YAL063C-A	0	0	0	0
gene-YAL063C	18.8725803954857	10.7173108580455	6.35750112258745	2.571428211182
gene-YAL062W	5119.8614530039	586.772769477994	416.416323529478	137.999980666768
gene-YAL061W	1284.00948762144	1039.57915323042	101.720017961399	70.2857044389748
gene-YAL060W	2747.30848899999	2586.08711004639	267.015047148673	284.571388704142
gene-YAL059W	90.9927983353774	136.109847897178	1678.38029636309	1433.14265636544
gene-YAL058W	57.2917619148673	73.413579377612	174.831280871155	167.14283372683
gene-YAL056W	944.303040502695	626.962685195664	82.6475145936368	67.7142762277928
gene-YAL055W	151.654663892296	113.603495095283	38.1450067355247	31.7142812712447
gene-YAL054C	15684.4623501054	3413.99937383041	502.242588684408	107.142842132583
gene-YAL053W	1298.83794364646	413.688199120558	1230.17646722067	790.285603569936
gene-YAL051W	351.838820230126	252.928536249875	200.261285361505	168.857119200952
gene-YAL049C	1795.59122048478	1289.29249622288	212.976287606679	252.857107432897
gene-YAL048C	171.201265016192	120.569747153012	89.0050157162242	71.9999899130961
gene-YAL047C	68.0760935694305	65.3755962340778	76.2900134710493	73.7142753872174
gene-YAL046C	25.6127876795877	103.42204978014	85.8262651549305	130.285696033222
gene-YAL044W-A	349.816758044895	247.569880820852	79.4687640323431	106.285699395523
gene-YAL044C	542.586686370214	816.659087383071	448.203829142415	373.714233358451
gene-YAL043C	428.003162540479	366.532031345158	397.343820161715	465.428506223943
gene-YAL042W	284.436747389106	457.093308095643	445.025078581121	509.142785814037
gene-YAL041W	111.887440916094	195.055057616429	394.165069600422	341.142809350146
gene-YAL040C	576.961743519134	326.342115627487	877.335154917067	632.571339950773
gene-YAL039C	504.841525579242	554.084971360955	441.846328019827	303.428528919476
gene-YAL038W	25406.5373366942	9679.87516698674	12648.2484833877	9444.8558196715
gene-YAL037C-A	14.1544352966143	8.57384868643644	19.0725033677623	9.42857010766735
gene-YAL037W	28.3088705932285	27.3291426880161	57.217510103287	46.2857078012761
gene-YAL036C	123.345793299067	132.894654639765	1436.79525370476	1372.28552203413
gene-YAL035W	981.374180565256	1141.39360638185	2968.95302424834	2513.14250506188
gene-YAL034W-A	47.8554717171244	72.8777138347097	44.5025078581121	40.2857086418514
gene-YAL034C	2730.45797078973	1122.63831238027	301.981303322904	282.85710323002
gene-YAL033W	43.137326618253	62.6962685195664	104.898768522693	173.999975623316
gene-YAL032C	57.9657826432775	96.4557977224099	247.94254378091	212.571398791046
gene-YAL031C	326.900053278949	246.498149735048	155.758777503392	138.857123403828
gene-YAL030W	508.885649949703	423.869644435701	123.971271890455	149.142836248556
gene-YAL029C	188.725803954857	281.329410023696	549.923847103814	467.142791698064
gene-YAL028W	144.240435879783	86.2743524072666	19.0725033677623	30.857138534184
gene-YAL027W	229.167047659469	244.890553106341	63.5750112258744	59.9999915942468
gene-YAL026C	149.632601707065	174.692166986142	187.54628311633	202.285685946318
gene-YNCA0001W	3.37010364205102	3.21519325741366	0	1.71428547412134
gene-YAL025C	90.9927983353774	137.717444525885	2701.93797709966	2484.85679473888
gene-YAL024C	28.3088705932285	50.9072265757163	101.720017961399	87.4285591801881
gene-YAL023C	320.833866723257	751.819356691895	1042.63018410434	994.285574990375
gene-YAL022C	22.2426840375367	30.0084704025275	114.435020206574	92.5714156025521
gene-YAL021C	537.868541271342	444.76840060889	349.662561742309	301.714243445355
gene-YAL020C	170.527244287781	165.046587213901	47.6812584194058	93.4285583396128
gene-YAL019W	138.848270052502	154.865141898758	467.276332510177	394.285659047907
gene-YAL018C	0	0	0	0.857142737060668
